id,title,nbRevision,nbContributeur,nbBytes,nbMinor,night,morning,afternoon,evening,year,month,day
2,Benutzer:Cbrown1023,1,1,0.0,0.0,0.0,0.0,0.0,1.0,2010,August,Thursday
3,Benutzer:Leinad,1,1,0.0,0.0,0.0,0.0,0.0,1.0,2010,August,Thursday
4,Makreel,16,9,0.046875,0.75,0.0,0.3125,0.4375,0.25,2010,May,Sunday
5,Maledive,67,29,0.0129204722655,0.865671641791,0.194029850746,0.223880597015,0.253731343284,0.328358208955,2009,October,Friday
6,Malmuk,19,9,0.0415512465374,0.789473684211,0.0526315789474,0.368421052632,0.315789473684,0.263157894737,2010,May,Sunday
7,Malmö,37,20,0.0211833455077,0.783783783784,0.189189189189,0.162162162162,0.405405405405,0.243243243243,2009,December,Sunday
8,Malta,22,12,0.0330578512397,0.727272727273,0.0,0.227272727273,0.272727272727,0.5,2010,February,Tuesday
10,Manerhäide,18,12,0.033950617284,0.611111111111,0.0,0.277777777778,0.277777777778,0.444444444444,2010,January,Saturday
11,Mannheim,21,10,0.0385487528345,0.809523809524,0.142857142857,0.285714285714,0.190476190476,0.380952380952,2010,March,Sunday
12,Manx,35,16,0.025306122449,0.885714285714,0.142857142857,0.228571428571,0.342857142857,0.285714285714,2009,November,Tuesday
13,Mars,82,30,0.0114515169542,0.939024390244,0.170731707317,0.134146341463,0.30487804878,0.390243902439,2009,October,Wednesday
14,Marschboon,18,9,0.0216049382716,0.388888888889,0.0,0.222222222222,0.444444444444,0.333333333333,2007,June,Wednesday
15,Martin,19,10,0.0304709141274,0.578947368421,0.210526315789,0.421052631579,0.157894736842,0.210526315789,2010,July,Tuesday
16,Martin (Slowakäi),21,13,0.0408163265306,0.857142857143,0.238095238095,0.285714285714,0.238095238095,0.238095238095,2010,July,Tuesday
18,Maryland,35,20,0.0269387755102,0.942857142857,0.142857142857,0.4,0.257142857143,0.2,2009,November,Wednesday
19,Massachusetts,46,23,0.0184310018904,0.847826086957,0.304347826087,0.239130434783,0.304347826087,0.152173913043,2009,November,Wednesday
